Source Publication Tissue File
Encode Encode Myoblasts.r2 /scratch/obsgynae/POPS/data/fastq/ENCODE/wgEncodeHaibMethylRrbsHsmmDukeSitesRep2.bed
Encode Encode HTR-8.r1 /scratch/obsgynae/POPS/data/fastq/ENCODE/wgEncodeHaibMethylRrbsHtr8DukeSitesRep1.bed
Encode Encode HTR-8.r2 /scratch/obsgynae/POPS/data/fastq/ENCODE/wgEncodeHaibMethylRrbsHtr8DukeSitesRep3.bed
MJ-2014 CamObsGynae AGA2F /scratch/obsgynae/POPS/results/SLX-8074.SLX-8080.v1/BisSNP/A001/SLX-8074.SLX-8080.A001.cpg.filtered.homo.CG.bed
MJ-2014 CamObsGynae SGA2F /scratch/obsgynae/POPS/results/SLX-8074.SLX-8080.v1/BisSNP/A003/SLX-8074.SLX-8080.A003.cpg.filtered.homo.CG.bed                    
MJ-2014 CamObsGynae AGA3F /scratch/obsgynae/POPS/results/SLX-8075.SLX-8077.SLX-8081.v1/BisSNP/A005/SLX-8075.SLX-8077.SLX-8081.A005.cpg.filtered.homo.CG.bed
MJ-2014 CamObsGynae SGA3F /scratch/obsgynae/POPS/results/SLX-8075.SLX-8077.SLX-8081.v1/BisSNP/A007/SLX-8075.SLX-8077.SLX-8081.A007.cpg.filtered.homo.CG.bed
MJ-2014 CamObsGynae AGA5M /scratch/obsgynae/POPS/results/SLX-8075.SLX-8077.SLX-8081.v1/BisSNP/A002/SLX-8075.SLX-8077.SLX-8081.A002.cpg.filtered.homo.CG.bed
MJ-2014 CamObsGynae SGA5M /scratch/obsgynae/POPS/results/SLX-8075.SLX-8077.SLX-8081.v1/BisSNP/A004/SLX-8075.SLX-8077.SLX-8081.A004.cpg.filtered.homo.CG.bed
MJ-2014 CamObsGynae AGA8M /scratch/obsgynae/POPS/results/SLX-8075.SLX-8077.SLX-8081.v1/BisSNP/A008/SLX-8075.SLX-8077.SLX-8081.A008.cpg.filtered.homo.CG.bed
MJ-2014 CamObsGynae SGA8M /scratch/obsgynae/POPS/results/SLX-8075.SLX-8077.SLX-8081.v1/BisSNP/A006/SLX-8075.SLX-8077.SLX-8081.A006.cpg.filtered.homo.CG.bed
